key,type,en_GB,en,fr,es,de,ar
actions,admin,Actions,Actions,,,,
activate,admin,Activate,Activate,,,,
active,admin,Active,active,,,,
add,admin,Add,Add,,,,
adjet-template-upload-help,admin,"Hit Select Image and choose an image from your file system or drag an image onto the button to select an image. Hit Save below to upload the image to the correct place. Must be jpg, gif or png image only","Hit Select Image and choose an image from your file system or drag an image onto the button to select an image. Hit Save below to upload the image to the correct place. Must be jpg, gif or png image only",,"Hit Seleccionar Imagen y seleccione una imagen del sistema de archivos o arrastrar una imagen en el botÃ³n para seleccionar una imagen. Hit Save abajo para subir la imagen al lugar correcto. Debe ser imagen png jpg, gif o solamente",,
adjet-templates,admin,"AdJet Templates","AdJet Templates",,"Plantillas Adjet",,
adjet-templates-create-desc,admin,"Create a new AdJet Template","Create a new AdJet Template",,"Crear una nueva plantilla Adjet",,
adjet-templates-delete-desc,admin,"Are you sure you want to delete?","Are you sure you want to delete?",,"Estas seguro que quieres borrarlo?",,
adjet-templates-desc,admin,"See all the AdJet Templates and edit, create, de/activate or delete","See all the AdJet Templates and edit, create, de/activate or delete",,"Ver todas las plantillas y editar Adjet cree, activar o eliminarlas",,
adjet-templates-edit-desc,admin,"Fill in the form and save to edit","Fill in the form and save to edit",,"Rellene el formulario y guardar para editar",,
adjet-templates-status-desc,admin,"Change the status","Change the status",,"Cambiar el estado",,
adjet-title-help,admin,"Enter a title to identify the AdJet","Enter a title to identify the AdJet",,"Introduzca un ttulo para identificar el Adjet",,
adjet-title-placeholder,admin,"Enter a title for the AdJet","Enter a title for the AdJet",,"Introduzca un ttulo para el Adjet",,
adjets,admin,AdJets,AdJets,NULL,AdJets,,
adjets-desc,admin,"Manage or create AdJets for this Site","Manage or create AdJets for this Site",,"Administrar o crear AdJets para este lugar",,
adjets-manage-click,admin,"Click on an AdJet to manage it","Click on an AdJet to manage it",,"Haga clic en un Adjet para gestionarlo",,
administration,admin,Administration,Administration,Administration,administracin,,
advanced,admin,Advanced,Advanced,NULL,Avanzado,,
all,admin,All,All,NULL,Todos,,
all-cache-cleared-msg,admin,"All Cache is cleared !","All Cache is cleared !",,,,
all-gateways,admin,"All Gateways","All Gateways",,"Todos los Gateways",,
all-gateways-desc,admin,"All Gateways on the system","All Gateways on the system",,"Todas las puertas de enlace en el sistema",,
all-groups,admin,"All Groups","All Groups",,"Todos los Grupos",,
all-groups-desc,admin,"Manage ALL groups system wide","Manage ALL groups system wide",,"Administrar todos los sistemas de grupos de ancho",,
all-guests,admin,"All Guests","All Guests",,"Todos los invitados:",,
all-rights-reserved,admin,"All Rights Reserved","All Rights Reserved",,"Todos Los Derechos Reservados",,
all-time,admin,"all time","all time",,"todo el tiempo",,
all-time-not-controlled-by-chart,admin,"All Time <small>Below are not controlled by the chart options and are over all time</small>","All Time <small>Below are not controlled by the chart options and are over all time</small>",,"<h2>Todo El Tiempo <small>A continuacion no son controlados por las opciones de graficos y son mas de todos los tiempos</small></h2>",,
allow-to-see-all,admin,"Role will be able to view all ","Role will be able to view all ",,,,
alpha-numeric-name,admin,"Add an alpha numeric role name","Add an alpha numeric role name",,,,
ar,admin,Arabic,Arabic,Arabe,Arábe,Arabisch,العربية
are-you-sure,admin,"Are you sure,","Are you sure,",,,,
at,admin,at,at,,en,,
average-rating,admin,"Average Rating","Average Rating",,"Puntuacion Media",,
back-to-adjets,admin,"Back to AdJets Reports","Back to AdJets Reports",,"Volver a AdJets Informes",,
bandwidth-free,admin,"Free bandwidth","Free bandwidth",NULL,"Ancho de banda gratuito",,
bandwidth-increase,admin,"Increase bandwidth","Increase bandwidth",NULL,"Aumentar el ancho de banda",,
bandwidth-premium,admin,"Premium bandwidth","Premium bandwidth",NULL,"Ancho de banda de primera calidad",,
banner-upload-help,admin,"Upload the image you wish to display on the AdJet. Must be a jpg, png or gif 728px X 90px","Upload the image you wish to display on the AdJet. Must be a jpg, png or gif 728px X 90px",,"Sube la imagen que desea mostrar en la Adjet. Debe ser un jpg, png o gif 728px X 90px",,
banner-url,admin,"Banner URL","Banner URL",,"URL Banner",,
banner-url-help,admin,"Enter a url that the guest will be directed to when they click on the banner","Enter a url that the guest will be directed to when they click on the banner",,"Introduzca una url que el invitado sera dirigido a cuando hagan clic en el banner",,
banner-url-placeholder,admin,"e.g. www.google.com","e.g. www.google.com",,"por ejemplo www.google.com",,
boosted-guests-count-desc,admin,"Boosted guests over all time","Boosted guests over all time",,"Impulsado huespedes mas de todos los tiempos",,
boosted-guests-count-help,admin,"Number of times any guest has increased their bandwidth with a boost. Click to see the guests reports.","Number of times any guest has increased their bandwidth with a boost. Click to see the guests reports.",,"Nmero de veces que cualquier huesped ha aumentado su ancho de banda con un impulso. Haga clic para ver los informes de huespedes .",,
boosted-guests-count-title,admin,"Boosted guests over all time","Boosted guests over all time",,"Impulsado huespedes mas de todos los tiempos",,
boosted-guests-title,admin,"Boosted Guests","Boosted Guests",,"Los huespedes impulsado",,
brand,admin,Brand,Brand,,,,
browse,admin,Browse,Browse,,,,
button,admin,Button,Button,,,,
cache,admin,Cache,Cache,,,,
cache-deleted-success,admin,"Deleted Cache: :type","Deleted Cache: :type",,"Cache Suprimido: :type",,
cache-desc,admin,"List of cache used and buttons to destroy","List of cache used and buttons to destroy",NULL,"Lista de cach utiliza los botones y para destruir",,
cache-description,admin,"Clearing Cache Tool","Clearing Cache Tool",,,,
cache-help,admin,"This page is to clear the cache from the server","This page is to clear the cache from the server",,,,
cache-title,admin,"Cache Page","Cache Page",,,,
caching,admin,Caching,,,,,
cancel,admin,Cancel,Cancel,Annuler,Cancelar,,
cancel-and-delete,admin,"Cancel & Delete","Cancel & Delete",,,,
cancel-and-reset,admin,"Cancel & Reset","Cancel & Reset",,,,
cannot-see-all,admin,"Viewing all is not possible","Viewing all is not possible",,,,
change,admin,Change,Change,,Cambio,,
chart-options,admin,"Chart options","Chart options",,"Opciones Grfico",,
check-email,admin,"Check email","Check email",,"Revise su correo electrnico",,
choose,admin,Choose,Choose,NULL,Elegir,,
choose-questions,admin,"Choose questions to add","Choose questions to add",,,,
circle-icons,admin,"Circle Icons","Circle Icons",,,,
circle-login,admin,"Circle login","Circle login",,,,
clear-all,admin,"Clear All","Clear All",,,,
click-to-activate,admin,"Click here to activate","Click here to activate",,,,
click-to-deactivate,admin,"Click here to de-activate","Click here to de-activate",,,,
clicks,admin,Clicks,Clicks,,Clicks,,
close,admin,Close,Close,Prs,Cerca,,
close-option,admin,"Close Option","Close Option",,"Cerrar Opcion",,
close-option-help,admin,"Switch to on if you want a close button to appear","Switch to on if you want a close button to appear",,"Cambie a si desea que un boton de cierre a aparecer",,
close-option-time,admin,"Time until close option is available","Time until close option is available",,"Tiempo hasta el cierre opcion esta disponible",,
close-option-time-help,admin,"The amount of seconds until the guest can close the AdJet","The amount of seconds until the guest can close the AdJet",,"La cantidad de segundos hasta que el huesped puede cerrar la Adjet",,
close-with-cookies,admin,"Close forever (or until you delete your cookies)","Close forever (or until you delete your cookies)",,"Cierre siempre ( o hasta que suprimir las cookies )",,
closed,admin,Closed,Closed,,Cerrado,,
company,admin,Company,Company,,,,
complete,admin,Complete,Complete,,Completo,,
contact,admin,Contact,Contact,Contact,Cntacto,,
content,admin,Content,Content,,Contenido,,
content-options,admin,"Content Options","Content Options",,,,
content-override-social-desc,admin,"To override any of the content text on the widget please fill in the form below and hit the save button.<br>You can also change any of the languages by hitting the correct tab.","To override any of the content text on the widget please fill in the form below and hit the save button.<br>You can also change any of the languages by hitting the correct tab.",,,,
content-override-social-title,admin,"Override Social Content","Override Social Content",,,,
copyright,admin,Copyright,Copyright,,"Derechos de autor",,
create,admin,Create,Create,,,,
create-adjet-message,admin,"There are no AdJets for this site yet, <a href=""/adjets/create"">click here</a> to create an AdJet.","There are no AdJets for this site yet, <a href=""/adjets/create"">click here</a> to create an AdJet.",,"No hay AdJets de este lugar, sin embargo, <a href=""/adjets/create"">clic aqui </a> para crear una Adjet.",,
create-adjets-desc,admin,"Create an Adjet for hardware in this site","Create an Adjet for hardware in this site",,"Crear una Adjet para el hardware en este lugar",,
create-new,admin,"Create New","Create New",,"crear Nuevo",,
create-new-permission,admin,"Create new permission","Create new permission",,"Crear nuevo permiso",,
create-new-role,admin,"Create new role","Create new role",,"Crear nuevo rol",,
create-portal,admin,"Create Portal","Create Portal",,,,
create-portal-desc,admin,"Drag widgets from the left to the middle to build your portal","Drag widgets from the left to the middle to build your portal",,,,
create-site-success,admin,"The Site ':name' has been created","The Site ':name' has been created",,"The Site ' :name' se ha creado",,
create-site-title,admin,"Your Site <small class=""hidden-xs"">Information to create your site</small>","Your Site <small class=""hidden-xs"">Information to create your site</small>",,"Su lugar <small class=""hidden-xs"">Informacion para crear su sede</small>",,
created,admin,Created,Created,,,,
created-by,admin,"Created by","Created by","CrÃ‡Â¸Ã‡Â¸ par","Creado por",,
custom-dates,admin,"Custom dates","Custom dates",,"Fechas Personalizados",,
custom-icon,admin,"Custom Icon","Custom Icon",,"Icono personal",,
custom-icon-help,admin,"If you would like a custom image logo and link on the menu Jet please add it here. The image must be a 64px by 64px image. If you supply no link the icon will not be created and will be deleted if it exists.","If you would like a custom image logo and link on the menu Jet please add it here. The image must be a 64px by 64px image. If you supply no link the icon will not be created and will be deleted if it exists.",,"Si usted quisiera un logotipo imagen personalizada y enlace en la menuJet favor aadir aqu . La imagen debe ser una 64px por 64px imagen . Si proporciona ningn vnculo en el icono no se crear y se borrar si existe.",,
custom-icons,admin,"Custom Icons","Custom Icons",,"Los iconos personalizados",,
custom-icons-help,admin,"A small icon image with a link i.e. logo and website","A small icon image with a link i.e. logo and website",,"Una imagen pequeo icono con un logotipo de enlace es decir y el sitio web",,
custom-options,admin,"Custom Options","Custom Options",,"Opciones personalizadas",,
custom-options-help,admin,"Change the appearance of the AdJet","Change the appearance of the AdJet",,"Cambiar el aspecto de la Adjet",,
custom-questions,admin,"Custom Questions","Custom Questions",,,,
custom-questions-help,admin,"If you would like to get information from your guests on login to the WiFi and it is not covered in the Predefined questions you can add custom questions by clicking the Add Question button below","If you would like to get information from your guests on login to the WiFi and it is not covered in the Predefined questions you can add custom questions by clicking the Add Question button below",,,,
